event_id,family,year,era,entry,stop,cost,stop_usd,rl,rs
NFP_2013-07-05,NFP,2013,2013-19,m60,10.0,base,10.0,-1.3938136000000214,0.8471363999999767
CPI_2013-07-16,CPI,2013,2013-19,m60,10.0,base,10.0,-0.4187170400000014,0.20128295999998044
NFP_2013-08-02,NFP,2013,2013-19,m60,10.0,base,10.0,1.2564220500000602,-1.2665779499999643
CPI_2013-08-15,CPI,2013,2013-19,m60,10.0,base,10.0,-0.7584324699999797,0.5449675300000308
NFP_2013-09-06,NFP,2013,2013-19,m60,10.0,base,10.0,1.6359604550000086,-1.6848395449999771
CPI_2013-09-17,CPI,2013,2013-19,m60,10.0,base,10.0,-0.052333905000000416,-0.10023390500000459
NFP_2013-10-22,NFP,2013,2013-19,m60,10.0,base,10.0,0.9402651250000418,-1.358734874999982
CPI_2013-10-30,CPI,2013,2013-19,m60,10.0,base,10.0,-0.030242150000003677,-0.1172421500000155
NFP_2013-11-08,NFP,2013,2013-19,m60,10.0,base,10.0,-1.689480900000035,1.165569099999948
CPI_2013-11-20,CPI,2013,2013-19,m60,10.0,base,10.0,-0.032714134999969245,-0.10491413499998999
NFP_2013-12-06,NFP,2013,2013-19,m60,10.0,base,10.0,-1.9870912999999972,1.1741586999999527
CPI_2013-12-17,CPI,2013,2013-19,m60,10.0,base,10.0,-0.039924725000014406,-0.12272472499998913
NFP_2014-01-10,NFP,2014,2013-19,m60,10.0,base,10.0,0.9788563649999787,-1.434043634999989
CPI_2014-01-16,CPI,2014,2013-19,m60,10.0,base,10.0,0.12121099499997853,-0.28358900500004436
NFP_2014-02-07,NFP,2014,2013-19,m60,10.0,base,10.0,0.808733600000005,-1.1594163999999636
CPI_2014-02-20,CPI,2014,2013-19,m60,10.0,base,10.0,0.17477694999997767,-0.29582304999999
NFP_2014-03-07,NFP,2014,2013-19,m60,10.0,base,10.0,-1.3485563749999756,0.9924436250000099
CPI_2014-03-18,CPI,2014,2013-19,m60,10.0,base,10.0,-0.09233263999999508,-0.054732640000020184
NFP_2014-04-04,NFP,2014,2013-19,m60,10.0,base,10.0,-0.16103322500000558,0.016366774999983135
CPI_2014-04-15,CPI,2014,2013-19,m60,10.0,base,10.0,-0.17012437000000774,0.020275630000014644
NFP_2014-05-02,NFP,2014,2013-19,m60,10.0,base,10.0,-1.2076585999999907,0.6476914000000079
CPI_2014-05-15,CPI,2014,2013-19,m60,10.0,base,10.0,-0.5102729800000134,0.3892270199999984
NFP_2014-06-06,NFP,2014,2013-19,m60,10.0,base,10.0,-0.35610270500001207,0.21599729500001102
CPI_2014-06-17,CPI,2014,2013-19,m60,10.0,base,10.0,-0.2754544800000076,0.14814552000000275
NFP_2014-07-03,NFP,2014,2013-19,m60,10.0,base,10.0,-0.5627206500000057,0.3697793500000216
CPI_2014-07-22,CPI,2014,2013-19,m60,10.0,base,10.0,0.028121200000009595,-0.16317880000001422
NFP_2014-08-01,NFP,2014,2013-19,m60,10.0,base,10.0,0.39978279999997995,-0.5814172000000098
CPI_2014-08-19,CPI,2014,2013-19,m60,10.0,base,10.0,-0.2688062999999602,0.1291937000000189
NFP_2014-09-05,NFP,2014,2013-19,m60,10.0,base,10.0,0.48639065499999107,-0.6915093449999858
NFP_2014-10-03,NFP,2014,2013-19,m60,10.0,base,10.0,-0.847626205000006,0.6604737950000071
CPI_2014-10-22,CPI,2014,2013-19,m60,10.0,base,10.0,-0.2527862200000072,0.09741378000001077
NFP_2014-11-07,NFP,2014,2013-19,m60,10.0,base,10.0,0.4187245399999938,-1.312375460000021
CPI_2014-11-20,CPI,2014,2013-19,m60,10.0,base,10.0,-0.23449906499997725,0.07190093499998511
NFP_2014-12-05,NFP,2014,2013-19,m60,10.0,base,10.0,-1.1074966549999772,0.7045533449999993
CPI_2014-12-17,CPI,2014,2013-19,m60,10.0,base,10.0,-0.07658724999998867,-0.06658724999999777
NFP_2015-01-09,NFP,2015,2013-19,m60,10.0,base,10.0,0.29517704999998384,-0.4666229499999872
CPI_2015-01-16,CPI,2015,2013-19,m60,10.0,base,10.0,-0.19982254999997623,0.029077450000045246
NFP_2015-02-06,NFP,2015,2013-19,m60,10.0,base,10.0,-1.3046603050000158,0.7819396950000055
CPI_2015-02-26,CPI,2015,2013-19,m60,10.0,base,10.0,0.08551866499997232,-0.2586813349999829
NFP_2015-03-06,NFP,2015,2013-19,m60,10.0,base,10.0,-0.3093732950000231,0.007826704999979483
CPI_2015-04-17,CPI,2015,2013-19,m60,10.0,base,10.0,-0.17744993999999678,0.03015005999998266
NFP_2015-05-08,NFP,2015,2013-19,m60,10.0,base,10.0,0.6836104999999861,-1.15153949999999
CPI_2015-05-22,CPI,2015,2013-19,m60,10.0,base,10.0,-0.46817484999999126,0.3009251499999891
NFP_2015-06-05,NFP,2015,2013-19,m60,10.0,base,10.0,-0.7524909849999858,0.577209014999994
CPI_2015-06-18,CPI,2015,2013-19,m60,10.0,base,10.0,-0.08796805000001769,-0.058668050000005675
NFP_2015-07-02,NFP,2015,2013-19,m60,10.0,base,10.0,0.2708730150000065,-0.4218269849999842
CPI_2015-07-17,CPI,2015,2013-19,m60,10.0,base,10.0,-0.06628920999999081,-0.09118920999997045
