event_id,family,year,era,measure,cost,stop_usd,rl,rs
NFP_2013-07-05,NFP,2013,2013-19,S1_ATR_D1,base,5.475084620229943,-1.550137867941071,1.5472571818705492
CPI_2013-07-16,CPI,2013,2013-19,S1_ATR_D1,base,5.229137969622077,-0.8007381760291612,0.38492570127104075
NFP_2013-08-02,NFP,2013,2013-19,S1_ATR_D1,base,3.937119151282731,3.191221808948079,-1.5241549136364339
CPI_2013-08-15,CPI,2013,2013-19,S1_ATR_D1,base,3.8475382261938513,-1.3438007359616322,1.4164057585962853
NFP_2013-09-06,NFP,2013,2013-19,S1_ATR_D1,base,4.0016427976474755,4.088222107085052,-4.210369666154302
CPI_2013-09-17,CPI,2013,2013-19,S1_ATR_D1,base,4.260983325142412,-0.12282119174510332,-0.23523655774140947
NFP_2013-10-22,NFP,2013,2013-19,S1_ATR_D1,base,4.187738084525628,2.2452815959872803,-2.8070878628817866
CPI_2013-10-30,CPI,2013,2013-19,S1_ATR_D1,base,3.912927110083587,-0.07728779287012492,-0.29962773826755745
NFP_2013-11-08,NFP,2013,2013-19,S1_ATR_D1,base,3.159616711312915,-2.0410099037996177,3.688957258096091
CPI_2013-11-20,CPI,2013,2013-19,S1_ATR_D1,base,2.943503450567243,-1.8965975218829265,-0.3564260642526917
NFP_2013-12-06,NFP,2013,2013-19,S1_ATR_D1,base,3.3181628353949066,-5.988528588180352,3.5385807094069626
CPI_2013-12-17,CPI,2013,2013-19,S1_ATR_D1,base,3.7165643379087037,-0.1074237423869807,-0.33021014528984544
NFP_2014-01-10,NFP,2014,2013-19,S1_ATR_D1,base,3.242437247206429,3.018890699714628,-2.0418086288960655
CPI_2014-01-16,CPI,2014,2013-19,S1_ATR_D1,base,2.9659419437157166,0.40867622259701425,-0.956151571344534
NFP_2014-02-07,NFP,2014,2013-19,S1_ATR_D1,base,3.0971465620075334,-1.2993133903844982,-3.06545518912915
CPI_2014-02-20,CPI,2014,2013-19,S1_ATR_D1,base,2.717330361530843,0.6431936008749221,-1.7827168049124535
NFP_2014-03-07,NFP,2014,2013-19,S1_ATR_D1,base,2.7424799322576634,-2.6062410396986944,3.61878172134157
CPI_2014-03-18,CPI,2014,2013-19,S1_ATR_D1,base,3.116770149074652,-0.29624462370896365,-0.17560691800218228
NFP_2014-04-04,NFP,2014,2013-19,S1_ATR_D1,base,2.8547070075010264,-1.74372789814177,0.057332591250092595
CPI_2014-04-15,CPI,2014,2013-19,S1_ATR_D1,base,2.3526615859919193,-1.6565254107114082,0.08618166811894502
NFP_2014-05-02,NFP,2014,2013-19,S1_ATR_D1,base,2.7566582911674264,-4.3808788483847785,2.34955272503403
CPI_2014-05-15,CPI,2014,2013-19,S1_ATR_D1,base,2.648918914553759,-3.780119408331214,1.4693806513347663
NFP_2014-06-06,NFP,2014,2013-19,S1_ATR_D1,base,1.9922959250773513,-1.2317583041308844,1.084162710374589
CPI_2014-06-17,CPI,2014,2013-19,S1_ATR_D1,base,1.7570436102785538,-1.3457519131384061,0.8431522082512023
NFP_2014-07-03,NFP,2014,2013-19,S1_ATR_D1,base,2.4218229054906724,-3.7276493171868568,1.5268637073407423
CPI_2014-07-22,CPI,2014,2013-19,S1_ATR_D1,base,2.564748608121234,0.1096450541427892,-0.6362370155239047
NFP_2014-08-01,NFP,2014,2013-19,S1_ATR_D1,base,2.7256712512718995,1.4667315429673569,-2.0615736389258417
CPI_2014-08-19,CPI,2014,2013-19,S1_ATR_D1,base,2.1794641064865137,-1.4696562290092248,0.5927773695171811
NFP_2014-09-05,NFP,2014,2013-19,S1_ATR_D1,base,1.900696112430124,-1.5694741681699198,-3.052088869999896
NFP_2014-10-03,NFP,2014,2013-19,S1_ATR_D1,base,2.3212707685847223,-1.4437187144881518,-1.3179255481104082
CPI_2014-10-22,CPI,2014,2013-19,S1_ATR_D1,base,2.468188100330629,-1.0241772900782762,0.3946772937887578
NFP_2014-11-07,NFP,2014,2013-19,S1_ATR_D1,base,2.629941371505301,1.5921440095081976,-4.990132001493463
CPI_2014-11-20,CPI,2014,2013-19,S1_ATR_D1,base,4.006626565791507,-0.5852780665962866,0.1794550448346591
NFP_2014-12-05,NFP,2014,2013-19,S1_ATR_D1,base,3.5175827801581416,-2.476975552401415,2.0029474472476365
CPI_2014-12-17,CPI,2014,2013-19,S1_ATR_D1,base,4.233480308347577,-0.18090848290701605,-0.15728725575669036
NFP_2015-01-09,NFP,2015,2013-19,S1_ATR_D1,base,3.2669177009139148,-1.688205827302409,-1.143655837719705
CPI_2015-01-16,CPI,2015,2013-19,S1_ATR_D1,base,3.5637403179920835,-0.5607101869660417,0.08159250508024765
