group,model,features,adapt,tau,n_trades,trade_share,mean_R,t,win_rate,avg_win_R,avg_loss_R,pf,total_R,max_dd_R,worst_R,max_loss_streak,cvar10_R
CPI,ridge,PRICE,expanding,0.0,8,0.11267605633802817,-1.4794583541338158,-3.257755984010943,0.0,0.0,-1.4794583541338158,0.0,-11.835666833070526,11.835666833070528,-3.6880889591035695,8.0,-3.6880889591035695
CPI,ridge,PRICE,expanding,0.1,7,0.09859154929577464,-1.291251606852283,-2.7056843828690766,0.0,0.0,-1.291251606852283,0.0,-9.038761247965981,9.038761247965981,-3.6880889591035695,7.0,-3.6880889591035695
CPI,ridge,PRICE,expanding,0.2,5,0.07042253521126761,-0.9512694625920158,-2.5620196103753767,0.0,0.0,-0.9512694625920158,0.0,-4.756347312960079,4.756347312960079,-1.8895892116163389,5.0,-1.8895892116163389
CPI,ridge,PRICE,expanding,0.3,5,0.07042253521126761,-0.9512694625920158,-2.5620196103753767,0.0,0.0,-0.9512694625920158,0.0,-4.756347312960079,4.756347312960079,-1.8895892116163389,5.0,-1.8895892116163389
CPI,ridge,PRICE,rolling5y,0.0,20,0.28169014084507044,-0.626457797953882,-1.6597147268064139,0.3,1.2331766185378712,-1.4234439764503475,0.3712856099933023,-12.52915595907764,12.529155959077638,-3.0449047510582954,5.0,-2.7645117288669314
CPI,ridge,PRICE,rolling5y,0.1,16,0.22535211267605634,-0.3911749580681683,-0.9045470234548462,0.3125,1.4179070102023528,-1.2134849436456778,0.5311175798517378,-6.258799329090693,8.319100404878588,-3.0449047510582954,4.0,-3.0449047510582954
CPI,ridge,PRICE,rolling5y,0.2,14,0.19718309859154928,-0.3799644136168109,-0.7760866089706627,0.2857142857142857,1.6925708078337538,-1.2089785021970367,0.5600002993462334,-5.319501790635353,7.379802866423249,-3.0449047510582954,4.0,-3.0449047510582954
CPI,ridge,PRICE,rolling5y,0.3,11,0.15492957746478872,-0.9757515709964614,-2.84922791266015,0.18181818181818182,0.47955081942260636,-1.2991521022006987,0.08202800009333802,-10.733267280961075,10.733267280961075,-3.0449047510582954,4.0,-3.0449047510582954
CPI,ridge,PRICE,decay3y,0.0,5,0.07042253521126761,-0.813329461312126,-1.8997315155906545,0.2,0.12128445666836171,-1.046982940807248,0.028960466293473847,-4.06664730656063,4.06664730656063,-1.8895892116163389,2.0,-1.8895892116163389
CPI,ridge,PRICE,decay3y,0.1,5,0.07042253521126761,-0.813329461312126,-1.8997315155906545,0.2,0.12128445666836171,-1.046982940807248,0.028960466293473847,-4.06664730656063,4.06664730656063,-1.8895892116163389,2.0,-1.8895892116163389
