id,group,cutoff,direction,conditions,n,mean_R,mean_R_conservative,win_rate,t,p_fwer,q_bh,sel_score
RULE-CPI-1,CPI,T-1H,LONG,pa_m15_inside == 0 AND surp_core_retail_last <= -0.2698 AND react_other_corr12 > -0.7705,15,1.0064187448465705,0.10581646709867308,0.8666666666666667,2.7024407386779785,0.8671328671328671,1.0,1.7024407386779785
RULE-CPI-2,CPI,T-1M,LONG,xau_sweep_asia_lo == 0 AND slope_2s10s <= 1.02 AND surp_core_retail_last <= -0.2698,15,0.9954583578575462,0.17437760448185521,0.8666666666666667,2.6066462993621826,0.9370629370629371,1.0,1.6066462993621826
RULE-CPI-3,CPI,T-1H,LONG,pa_h1_b3_range_atr > 1.176 AND pa_h4_outside == 0 AND surp_ahe_mean3 > -0.2248,16,0.919090581219857,0.03665649873061627,0.75,2.5684359073638916,0.957042957042957,1.0,1.5684359073638916
RULE-CPI-4,CPI,T-1M,LONG,xau_atr_d1_pct <= 1.211 AND pa_m1_outside == 0 AND xm_ndx_ret_1440m_pct <= 0.1807,15,0.8058302820240468,0.06962585539881244,0.8,2.5067718029022217,0.981018981018981,1.0,1.5067718029022217
RULE-CPI-5,CPI,T-1H,LONG,pa_h4_outside == 0 AND pa_m5_inside == 0 AND surp_ism_m_days <= 10.9,15,0.7583734428720074,0.056242257475997,0.7333333333333333,2.473386764526367,0.991008991008991,1.0,1.4733867645263672
RULE-NFP-1,NFP,T-1H,SHORT,y2y_chg_1d <= 0 AND pa_h4_compress5 <= 0.3258 AND cons_ahe_minus_last > 0,15,0.9538328192245832,0.8063178919738514,0.9333333333333333,7.356601715087891,0.01098901098901099,1.0,6.356601715087891
RULE-NFP-2,NFP,T-1M,SHORT,dxy_ret_5d_pct <= 0.1202 AND pa_m1_b2_range_atr <= 1.414 AND surp_ism_s_mean3 <= 0.02096,15,0.9612510410121672,0.8047815080822124,0.8666666666666667,6.576051712036133,0.07292707292707293,1.0,5.576051712036133
RULE-NFP-3,NFP,T-1M,SHORT,pa_m1_b2_range_atr <= 1.414 AND cons_ahe_minus_last > 0 AND surp_jolts_days <= 23.94,15,1.0870317008000314,0.9054331128578766,0.9333333333333333,6.499549865722656,0.08591408591408592,1.0,5.499549865722656
RULE-NFP-4,NFP,T-1H,SHORT,dxy_ret_5d_pct <= 0.1053 AND xm_spx_ret_1440m_pct <= 0.1431 AND surp_jolts_days <= 23.9,15,0.879529668759474,0.7302094919866723,0.8666666666666667,5.848759174346924,0.3096903096903097,1.0,4.848759174346924
RULE-NFP-5,NFP,T-1M,SHORT,pa_m5_b1_range_atr <= 1.615 AND pa_m15_b2_uwick > 0.2752 AND surp_ahe_days <= 28,17,0.8828400709274229,0.6264567968452264,0.8823529411764706,5.591125011444092,0.4645354645354645,1.0,4.591125011444092
RULE-SHARED-1,SHARED,T-1H,SHORT,xau_atr_h1_pct > 0.157 AND surp_cpi_last <= 0 AND surp_core_cpi_mean3 <= -3.701e-17,31,0.6184299135273755,0.18729533091699202,0.6451612903225806,2.615543842315674,0.6663336663336663,1.0,1.6155438423156738
RULE-SHARED-2,SHARED,T-1M,SHORT,pa_h4_bull_engulf == 0 AND pa_m1_b1_cloc > 0.4731 AND react_same_mean_dir6 >= 0,37,0.5239703302413428,0.001821577373473682,0.5945945945945946,2.602510929107666,0.6923076923076923,1.0,1.602510929107666
RULE-SHARED-3,SHARED,T-1M,SHORT,pa_d1_bb_width_atr > 4.271 AND surp_adp_mean3 <= 0.1663 AND hours_chg <= 0,33,0.6214933665733184,0.07801553232876153,0.5757575757575758,2.3728432655334473,0.9340659340659341,1.0,1.3728432655334473
RULE-SHARED-4,SHARED,T-1H,LONG,news_gpr_threat_chg_30d > -2.604 AND hours_chg >= 0 AND xm_ndx_ret_15m_pct > 0.00161,33,0.6466907480805606,0.003604885067113472,0.6666666666666666,2.3335137367248535,0.962037962037962,1.0,1.3335137367248535
RULE-SHARED-5,SHARED,T-1H,SHORT,xau_pos_day <= 0.551 AND pa_m5_bb_pctb <= 0.4548 AND react_same_mean_dir6 >= 0,32,0.47378431731001164,0.059230308830448136,0.65625,2.2616231441497803,0.9820179820179821,1.0,1.2616231441497803
